"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
312,1.24343,88.5,156,"2026-03-28_YIUCB",4.15420405450316,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.8,43.586808296,-79.75438891,-1.44694,9.21,231,13,14.4432
313,1.24753,88.5,156,"2026-03-28_YIUCB",4.1438753522294,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.6,43.586768649,-79.754399136,-1.93474,9.25,230,13,14.4792
314,1.25204,88.5,157,"2026-03-28_YIUCB",4.1438753522294,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.4,43.586731266,-79.754410451,-1.86669,9.25,230,13,14.4792
315,1.25567,88,159,"2026-03-28_YIUCB",4.1438753522294,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.2,43.586697068,-79.754426042,-2.41765,9.4,233,13,14.4792
316,1.26021,87.5,160,"2026-03-28_YIUCB",4.13462333581411,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,43.58666111,-79.754446158,-2.36919,9.43,232,13,14.5116
317,1.26434,87.5,161,"2026-03-28_YIUCB",4.12541254125412,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.586626157,-79.754468202,-2.85345,9.43,232,13,14.544
318,1.26867,88,163,"2026-03-28_YIUCB",4.12541254125412,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.58659221,-79.754488068,-2.85345,9.43,232,13,14.544
319,1.27271,89,163,"2026-03-28_YIUCB",4.11522633744856,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.586559353,-79.754515393,-2.40702,9.25,230,13,14.58
320,1.27682,89,164,"2026-03-28_YIUCB",4.10610166707728,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.586530017,-79.754545316,-2.40702,9.28,229,13,14.6124
321,1.28072,89.5,164,"2026-03-28_YIUCB",4.10610166707728,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.8,43.586503446,-79.754582113,-2.40702,9.11,227,13,14.6124
