"SECS","KM","CAD","HR","ID","PACE","WATTS","LRBALANCE","LTE","RTE","LPS","RPS","LPPB","RPPB","LPPE","RPPE","LPPPB","RPPPB","LPPPE","RPPPE","ALT","LAT","LON","SLOPE","RVERT","RCON","TEMP","KPH"
75,0.078125,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
76,0.0791667,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
77,0.0802083,29.313,123,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
78,0.08125,29.313,124,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
79,0.0822917,29.313,125,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
80,0.0833333,29.313,125,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
81,0.084375,29.313,125,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
82,0.0854167,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
83,0.0864583,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
84,0.0875,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
85,0.0885417,29.313,125,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
86,0.0895833,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
87,0.090625,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
88,0.0916667,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
89,0.0927083,29.313,126,"2026-03-14_MFXAB",1.63750095520889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66412
